LoanID,Age,EmploymentType,EmploymentYears,City,MonthlyIncome,LoanAmount,LoanPurpose,LoanTenureMonths,InterestRate,ExistingLoans,CreditScore,LoanToIncomeRatio,Default
LN100033,49,Self-Employed,16,Tier-2,25313,829590,Medical,48,21.04,0,640,2.731,0
LN100034,21,Salaried,23,Rural,107405,1101725,Home,12,7.23,2,896,0.855,0
LN100035,49,Salaried,10,Tier-2,36991,3147885,Home,84,20.11,2,344,7.092,0
LN100036,61,Unemployed,9,Tier-1,68048,2289784,Home,60,16.1,4,613,2.804,0
LN100037,46,Self-Employed,23,Tier-2,177606,1561840,Personal,60,9.82,2,895,0.733,0
LN100038,58,Salaried,8,Tier-1,127045,4402625,Business,48,19.8,3,461,2.888,0
LN100039,32,Business Owner,7,Metro,108005,200696,Education,120,18.88,0,617,0.155,0
LN100040,24,Self-Employed,18,Rural,45192,3296449,Medical,12,20.46,1,523,6.079,0
LN100041,39,Self-Employed,20,Metro,155218,2550047,Vehicle,48,21.64,2,449,1.369,1
LN100042,57,Business Owner,0,Metro,79312,609786,Education,36,8.06,0,894,0.641,0
LN100043,42,Salaried,6,Tier-2,183229,674830,Business,120,21.83,1,544,0.307,0
LN100044,43,Salaried,12,Metro,132955,3758681,Business,36,19.69,0,309,2.356,0
LN100045,35,Salaried,17,Metro,118044,1755846,Education,24,20.43,2,580,1.24,1
LN100046,58,Salaried,27,Tier-2,181147,2374430,Business,120,21.82,2,596,1.092,1
LN100047,47,Self-Employed,27,Metro,159954,2397573,Vehicle,120,10.07,1,708,1.249,0
LN100048,38,Self-Employed,18,Tier-2,192662,3856770,Education,84,10.5,2,663,1.668,0
LN100049,55,Salaried,15,Rural,56946,2251087,Personal,24,21.06,2,371,3.294,1
LN100050,46,Salaried,18,Tier-1,97362,736317,Education,48,8.32,4,825,0.63,0
LN100051,25,Business Owner,2,Tier-2,162996,3329463,Education,12,16.57,3,496,1.702,1
LN100052,56,Self-Employed,22,Tier-1,120502,3861944,Business,36,17.64,0,321,2.671,1
LN100053,30,Self-Employed,15,Metro,153046,2499901,Medical,12,8.04,4,836,1.361,1
LN100054,45,Self-Employed,3,Tier-1,96395,3484635,Vehicle,120,20.02,4,360,3.012,1
LN100055,39,Salaried,28,Tier-1,191613,704140,Vehicle,12,8.43,3,876,0.306,0
LN100056,53,Self-Employed,11,Rural,186594,4087196,Vehicle,12,10.35,2,727,1.825,0
LN100057,28,Self-Employed,15,Metro,165517,1416107,Education,60,18.1,0,433,0.713,0
LN100058,42,Salaried,20,Tier-1,186756,3530153,Medical,48,19.26,1,567,1.575,1
LN100059,40,Business Owner,0,Tier-1,144752,1770510,Home,36,21.96,3,609,1.019,0
LN100060,64,Self-Employed,15,Tier-1,92813,2126023,Business,48,16.48,3,446,1.909,1
LN100061,48,Business Owner,13,Tier-1,196236,652384,Education,120,7.68,2,874,0.277,0
LN100062,23,Salaried,25,Tier-1,156763,4510682,Education,120,21.77,2,522,2.398,0
LN100063,27,Salaried,27,Tier-1,104872,166047,Personal,12,20.15,0,302,0.132,0
LN100064,35,Salaried,2,Metro,168336,3569203,Personal,48,10.65,3,740,1.767,0
LN100065,28,Self-Employed,6,Tier-2,62840,3871045,Vehicle,12,13.02,1,706,5.133,0
LN100066,27,Salaried,15,Tier-1,91019,818881,Education,48,16.03,1,399,0.75,1
LN100067,55,Salaried,14,Tier-2,180193,1656384,Personal,84,11.05,0,722,0.766,1
LN100068,51,Salaried,22,Metro,99094,328954,Vehicle,24,21.16,2,416,0.277,0
LN100069,64,Self-Employed,21,Metro,121772,4399285,Vehicle,60,7.1,4,843,3.011,0
LN100070,48,Business Owner,17,Tier-2,133729,4080071,Personal,120,20.56,0,471,2.542,0
LN100071,23,Business Owner,4,Metro,59277,1014028,Business,60,20.3,2,600,1.426,0
LN100072,44,Salaried,4,Tier-2,195277,3057954,Personal,120,7.17,2,780,1.305,0
LN100073,52,Business Owner,1,Tier-2,116803,4241628,Education,24,10.26,4,677,3.026,0
LN100074,54,Self-Employed,4,Tier-2,101896,3658305,Education,48,11.12,3,652,2.992,0
LN100075,22,Salaried,20,Metro,166943,2289268,Education,12,16.42,1,412,1.143,0
LN100076,55,Salaried,6,Tier-2,117326,4641770,Home,48,18.19,3,567,3.297,1
LN100077,59,Salaried,18,Tier-1,133132,3793530,Personal,60,13.41,3,714,2.375,0
LN100078,46,Business Owner,27,Tier-2,78718,563014,Vehicle,84,7.51,0,886,0.596,0
LN100079,33,Salaried,14,Metro,107927,4253380,Vehicle,120,19.31,2,436,3.284,1
LN100080,32,Self-Employed,16,Rural,170812,4542575,Medical,84,19.46,3,594,2.216,1
LN100081,21,Self-Employed,21,Tier-1,191905,4202647,Business,120,7.39,1,869,1.825,0
LN100082,23,Salaried,0,Metro,16586,767449,Medical,36,15.77,4,456,3.856,0
LN100083,27,Salaried,11,Tier-2,41436,345721,Business,36,14.11,0,610,0.695,0
LN100084,43,Unemployed,29,Tier-2,113277,3982765,Home,12,15.86,1,421,2.93,1
LN100085,40,Salaried,13,Tier-2,164015,2004283,Business,24,20.79,4,329,1.018,1
LN100086,25,Salaried,0,Metro,150003,2199110,Education,60,7.47,2,751,1.222,1
LN100087,60,Business Owner,29,Rural,52887,3120171,Home,36,8.83,3,893,4.916,1
LN100088,36,Salaried,1,Tier-2,190025,768020,Medical,48,20.09,3,524,0.337,1
LN100089,59,Self-Employed,6,Tier-2,31037,3974596,Education,24,8.34,1,864,10.672,0
LN100090,59,Salaried,12,Tier-1,58913,3924673,Personal,60,14.39,4,506,5.552,1
LN100091,59,Salaried,18,Metro,135748,2075513,Home,12,11.95,0,696,1.274,0
LN100092,64,Salaried,0,Tier-2,198220,1525193,Medical,12,21.39,0,366,0.641,0
LN100093,29,Business Owner,12,Metro,54878,3606140,Medical,84,14.36,0,516,5.476,1
LN100094,63,Self-Employed,2,Metro,95193,1966906,Education,24,17.54,4,361,1.722,1
LN100095,49,Salaried,16,Metro,198757,3231056,Education,60,20.03,1,436,1.355,0
LN100096,25,Salaried,16,Tier-2,145525,1640234,Education,36,10.59,0,675,0.939,1
LN100097,39,Salaried,13,Tier-1,90040,1483134,Business,12,14.98,2,508,1.373,0
LN100098,37,Salaried,7,Metro,166016,1007526,Education,60,10.85,1,671,0.506,0
LN100099,48,Self-Employed,20,Rural,45494,715789,Home,48,19.83,4,598,1.311,1
LN100100,46,Salaried,0,Tier-1,176609,2478105,Home,36,8.21,2,824,1.169,0
LN100101,60,Self-Employed,25,Tier-2,84362,2755514,Home,12,19.42,2,519,2.722,1
LN100102,41,Business Owner,8,Tier-1,47753,3779036,Education,84,7.69,4,874,6.595,0
LN100103,44,Self-Employed,28,Tier-1,131965,1332768,Education,120,8.71,2,871,0.842,1
LN100104,44,Unemployed,4,Rural,92456,2529305,Business,48,18.42,0,546,2.28,0
LN100105,57,Self-Employed,0,Tier-2,167199,1317730,Home,60,14.65,2,472,0.657,0
LN100106,21,Self-Employed,17,Tier-2,136602,3050897,Medical,120,20.71,1,582,1.861,0
LN100107,30,Salaried,15,Tier-2,93710,3646245,Education,60,19.22,0,483,3.242,1
LN100108,36,Salaried,27,Tier-1,89159,2046258,Vehicle,60,19.42,2,331,1.913,1
LN100109,49,Salaried,4,Tier-2,61495,2184566,Education,120,21.51,3,648,2.96,0
LN100110,22,Self-Employed,7,Metro,27468,1364957,Home,36,14.32,0,461,4.141,0
LN100111,40,Salaried,6,Tier-1,151673,263238,Education,36,7.44,0,858,0.145,0
LN100112,40,Self-Employed,15,Metro,195254,2803028,Education,60,9.2,2,873,1.196,0
LN100113,28,Self-Employed,23,Tier-1,132010,2949240,Education,24,18.15,4,440,1.862,1
LN100114,29,Salaried,18,Tier-1,46741,2124650,Education,24,19.63,0,309,3.788,0
LN100115,48,Salaried,16,Tier-1,27529,4135485,Home,36,16.83,0,426,12.519,0
LN100116,25,Business Owner,13,Tier-2,74606,4200883,Education,84,16.44,1,611,4.692,0
LN100117,55,Salaried,14,Tier-1,45689,3638443,Personal,36,14.46,4,301,6.636,0
LN100118,38,Self-Employed,8,Tier-2,122319,2423964,Home,24,20.2,4,556,1.651,0
LN100119,39,Self-Employed,1,Tier-2,155522,2358220,Home,120,17.28,0,515,1.264,0
LN100120,50,Salaried,0,Tier-2,49194,3321251,Medical,48,7.42,4,840,5.626,0
LN100121,53,Self-Employed,26,Tier-2,22135,2413502,Vehicle,24,21.8,3,310,9.086,1
LN100122,55,Salaried,10,Metro,45225,4409140,Medical,60,16.45,2,344,8.124,1
LN100123,46,Self-Employed,1,Metro,172396,2052148,Personal,12,17.26,0,607,0.992,0
LN100124,28,Salaried,13,Tier-2,129069,220924,Medical,12,8.88,0,897,0.143,1
LN100125,57,Business Owner,3,Tier-2,145499,1443712,Medical,48,13.92,3,687,0.827,0
LN100126,21,Self-Employed,5,Metro,78900,2684755,Medical,120,7.13,0,821,2.836,0
LN100127,60,Salaried,3,Rural,30343,2841117,Home,120,14.89,2,509,7.803,1
LN100128,27,Self-Employed,25,Rural,198747,913368,Vehicle,12,18.61,1,521,0.383,1
LN100129,51,Salaried,12,Tier-1,37424,433520,Personal,48,20.36,4,432,0.965,1
LN100130,31,Self-Employed,1,Tier-1,190511,4852262,Vehicle,84,16.65,0,583,2.122,0
LN100131,51,Business Owner,21,Tier-2,21047,1219749,Home,60,19.63,4,540,4.829,1
LN100132,48,Salaried,20,Tier-2,56056,4486677,Business,24,8.52,4,897,6.67,0
LN100133,50,Salaried,4,Metro,98264,3229507,Medical,60,15.4,4,514,2.739,0
LN100134,54,Salaried,20,Tier-2,89623,4287031,Home,24,11.23,3,738,3.986,0
LN100135,27,Salaried,21,Metro,122350,2173932,Education,48,7.41,3,800,1.481,0
LN100136,38,Salaried,4,Tier-2,103468,3391246,Business,48,9.46,1,819,2.731,0
LN100137,54,Self-Employed,22,Tier-2,40030,3181126,Medical,48,19.27,3,469,6.622,1
LN100138,48,Self-Employed,19,Metro,168123,3292857,Business,36,14.57,2,615,1.632,0
LN100139,38,Salaried,14,Tier-2,198579,2975732,Vehicle,48,15.56,1,399,1.249,1
LN100140,25,Unemployed,6,Tier-1,19820,1652778,Business,36,7.95,0,824,6.949,0
LN100141,35,Salaried,22,Metro,28114,2751124,Personal,12,13.19,3,749,8.155,0
LN100142,45,Salaried,18,Metro,110669,4990485,Vehicle,24,9.02,3,803,3.758,0
LN100143,24,Unemployed,17,Tier-1,54829,4066373,Vehicle,84,14.94,3,648,6.18,0
LN100144,51,Salaried,16,Tier-2,124894,4901812,Medical,84,10.08,4,744,3.271,0
LN100145,32,Salaried,2,Metro,108628,2544959,Personal,120,8.5,3,897,1.952,1
LN100146,56,Salaried,5,Rural,161604,4258999,Business,60,20.62,4,636,2.196,0
LN100147,63,Salaried,13,Tier-2,35407,4344053,Education,24,8.67,1,814,10.224,0
LN100148,53,Self-Employed,5,Tier-1,20555,1681154,Business,36,16.42,0,569,6.816,0
LN100149,50,Salaried,21,Tier-1,76336,3164139,Education,84,7.9,3,824,3.454,0
LN100150,49,Self-Employed,20,Metro,44984,1273927,Education,60,14.36,0,647,2.36,0
LN100151,60,Salaried,15,Rural,58888,4185238,Business,84,10.76,1,681,5.923,0
LN100152,31,Self-Employed,15,Tier-2,157334,398892,Personal,120,12.61,3,711,0.211,0
LN100153,55,Salaried,27,Tier-2,144048,1573321,Business,84,17.97,4,533,0.91,1
LN100154,53,Salaried,4,Tier-2,180813,2704808,Business,36,9.34,0,806,1.247,0
LN100155,32,Salaried,5,Tier-2,96183,1056861,Vehicle,24,9.75,1,837,0.916,0
LN100156,48,Self-Employed,10,Tier-1,138871,140324,Medical,36,13.42,4,739,0.084,0
LN100157,62,Unemployed,29,Tier-2,106039,4656079,Medical,48,18.42,0,567,3.659,0
LN100158,46,Self-Employed,4,Tier-2,40421,4310135,Medical,12,18.19,3,450,8.886,1
LN100159,27,Salaried,26,Tier-2,192631,4402465,Home,24,18.37,3,587,1.905,0
LN100160,26,Self-Employed,8,Tier-2,60166,882255,Medical,48,20.7,4,308,1.222,0
LN100161,21,Salaried,2,Tier-2,191731,4181178,Home,84,7.72,2,774,1.817,0
LN100162,55,Self-Employed,8,Rural,37495,4115798,Vehicle,24,7.71,1,856,9.147,1
LN100163,40,Self-Employed,16,Tier-1,55960,3716647,Personal,36,19.05,3,575,5.535,1
LN100164,42,Salaried,18,Metro,61949,2309757,Medical,84,13.68,3,688,3.107,0
LN100165,24,Salaried,5,Metro,125230,4224516,Medical,120,15.07,3,326,2.811,1
LN100166,47,Self-Employed,4,Tier-2,15017,1845135,Medical,36,20.51,4,428,10.239,1
LN100167,43,Salaried,7,Tier-2,169184,3178113,Medical,120,9.99,0,874,1.565,0
LN100168,24,Salaried,21,Tier-1,29011,477740,Home,48,18.86,3,488,1.372,0
LN100169,52,Self-Employed,28,Tier-2,42522,3841330,Home,12,13.97,3,693,7.528,1
LN100170,47,Salaried,16,Rural,88657,278707,Vehicle,48,7.74,1,843,0.262,0
LN100171,59,Salaried,17,Metro,143382,2829844,Home,60,12.62,2,671,1.645,0
LN100172,63,Salaried,15,Tier-2,118304,3013349,Business,84,21.91,0,435,2.123,1
LN100173,30,Salaried,9,Tier-2,194358,3419635,Business,12,9.17,3,856,1.466,0
LN100174,49,Salaried,21,Metro,184056,4983216,Medical,120,8.75,1,878,2.256,0
LN100175,23,Salaried,26,Metro,186957,1650783,Medical,120,18.38,1,550,0.736,0
LN100176,57,Business Owner,19,Metro,25694,4360402,Education,48,19.4,1,596,14.142,0
LN100177,54,Self-Employed,16,Tier-2,198102,4958624,Education,84,9.66,1,813,2.086,0
LN100178,35,Salaried,9,Metro,184684,4670893,Home,36,14.62,0,395,2.108,0
LN100179,36,Salaried,21,Tier-2,178911,4317425,Education,12,12.99,0,714,2.011,1
LN100180,52,Unemployed,7,Rural,19085,520983,Business,60,14.77,0,406,2.275,1
LN100181,27,Salaried,5,Tier-2,70329,4486144,Home,24,13.62,4,680,5.316,0
LN100182,54,Salaried,1,Rural,18253,4212198,Business,60,19.42,3,620,19.231,0
LN100183,33,Salaried,21,Tier-1,90193,4156602,Home,24,12.02,1,666,3.84,0
LN100184,62,Salaried,1,Metro,159754,997570,Medical,84,19.93,0,305,0.52,0
LN100185,29,Salaried,6,Tier-2,146136,2955305,Vehicle,84,8.23,0,879,1.685,0
LN100186,52,Self-Employed,14,Metro,142757,3922925,Vehicle,48,9.6,2,793,2.29,0
LN100187,59,Business Owner,21,Tier-2,124133,4100220,Personal,60,16.49,2,503,2.753,1
LN100188,30,Business Owner,2,Metro,141077,333069,Home,60,13.2,1,658,0.197,0
LN100189,61,Business Owner,1,Tier-1,199706,1794813,Home,48,13.9,4,709,0.749,0
LN100190,61,Business Owner,11,Tier-2,138711,1235318,Business,24,8.03,1,757,0.742,0
LN100191,23,Salaried,3,Tier-1,161832,1226320,Vehicle,12,14.03,3,494,0.631,1
LN100192,21,Salaried,12,Tier-1,166985,4258448,Personal,24,18.71,3,515,2.125,1
LN100193,30,Salaried,27,Rural,17131,2808957,Personal,24,8.26,2,836,13.664,0
LN100194,50,Salaried,19,Tier-1,68704,3672651,Vehicle,24,16.53,2,534,4.455,1
LN100195,63,Salaried,17,Metro,42103,4414123,Business,84,13.44,2,747,8.737,0
LN100196,28,Salaried,9,Rural,71831,1008544,Medical,24,17.45,2,400,1.17,0
LN100197,32,Unemployed,8,Tier-1,114932,1496827,Education,120,9.56,3,775,1.085,0
LN100198,21,Business Owner,22,Metro,61409,1167554,Education,120,19.44,3,376,1.584,1
LN100199,55,Self-Employed,26,Metro,96139,4228429,Vehicle,120,15.92,0,322,3.665,0
LN100200,43,Self-Employed,13,Rural,149071,791622,Personal,12,18.85,1,622,0.443,0
LN100201,35,Salaried,5,Metro,73952,2186046,Personal,36,20.45,2,573,2.463,0
LN100202,33,Self-Employed,21,Tier-2,72482,2338898,Vehicle,84,21.88,2,616,2.689,1
LN100203,31,Self-Employed,3,Metro,30077,2509166,Personal,120,10.69,0,653,6.952,0
LN100204,48,Salaried,1,Tier-2,54812,1795188,Vehicle,24,19.81,3,576,2.729,0
LN100205,38,Unemployed,3,Tier-2,130499,4153086,Personal,48,16.3,4,646,2.652,1
LN100206,37,Salaried,3,Tier-2,137078,1527298,Vehicle,120,14.31,0,559,0.928,0
LN100207,64,Self-Employed,17,Tier-1,162248,1497692,Personal,84,8.38,3,808,0.769,1
LN100208,39,Salaried,11,Tier-1,56324,129873,Business,60,7.54,4,806,0.192,0
LN100209,31,Salaried,4,Rural,51910,153582,Vehicle,84,21.86,4,491,0.247,0
LN100210,41,Self-Employed,11,Metro,49960,4158473,Personal,60,8.78,3,781,6.936,1
LN100211,37,Business Owner,1,Rural,19379,1600971,Business,120,19.74,2,431,6.884,0
LN100212,45,Self-Employed,7,Tier-1,37270,768610,Home,12,18.16,1,627,1.719,0
LN100213,30,Business Owner,15,Tier-1,136358,4726498,Personal,60,15.92,3,466,2.889,1
LN100214,49,Salaried,4,Metro,176784,4351271,Personal,48,15.87,0,443,2.051,1
LN100215,51,Self-Employed,0,Metro,196311,4381947,Vehicle,48,13.38,2,735,1.86,0
LN100216,22,Unemployed,5,Tier-2,184027,3783555,Personal,60,17.27,4,602,1.713,1
LN100217,63,Unemployed,23,Tier-1,70533,4649080,Personal,48,17.35,1,641,5.493,1
LN100218,24,Salaried,3,Tier-2,126045,135455,Vehicle,36,13.98,2,655,0.09,0
LN100219,56,Salaried,27,Tier-2,178890,734990,Medical,24,15.78,2,563,0.342,0
LN100220,31,Business Owner,27,Metro,15350,1414999,Education,84,8.74,2,828,7.682,0
LN100221,31,Salaried,3,Rural,136836,3365686,Home,84,15.38,2,353,2.05,1
LN100222,39,Salaried,4,Tier-2,142904,3277465,Medical,48,16.67,1,391,1.911,0
LN100223,62,Salaried,6,Metro,74075,4588047,Education,12,17.11,2,408,5.161,0
LN100224,22,Salaried,26,Metro,61823,4856471,Personal,120,17.11,3,617,6.546,0
LN100225,46,Salaried,10,Tier-1,174452,4619647,Vehicle,60,10.65,2,726,2.207,0
LN100226,35,Salaried,22,Tier-2,65125,982353,Business,12,17.46,0,628,1.257,0
LN100227,60,Salaried,28,Tier-2,122177,3942905,Vehicle,36,17.77,3,528,2.689,1
LN100228,62,Self-Employed,12,Tier-2,190617,4120657,Home,12,9.24,2,811,1.801,0
LN100229,28,Salaried,17,Tier-1,96002,3346350,Vehicle,120,10.93,1,745,2.905,0
LN100230,37,Salaried,14,Tier-1,16701,470176,Personal,36,9.35,2,896,2.346,0
LN100231,31,Self-Employed,26,Tier-1,139055,1288111,Vehicle,24,18.18,3,503,0.772,0
LN100232,49,Business Owner,26,Rural,55333,3863717,Vehicle,24,13.98,4,696,5.819,0
LN100233,45,Business Owner,13,Tier-2,129213,1860162,Business,36,17.61,2,622,1.2,0
LN100234,28,Self-Employed,28,Tier-2,87033,4525561,Personal,120,8.1,3,825,4.333,0
LN100235,46,Self-Employed,1,Tier-1,115797,4098467,Personal,24,16.21,1,487,2.949,1
LN100236,47,Business Owner,24,Tier-2,148024,3321261,Education,12,9.83,3,875,1.87,0
LN100237,49,Salaried,7,Tier-1,25138,1200071,Vehicle,60,19.24,2,507,3.978,0
LN100238,32,Self-Employed,12,Tier-2,54187,2838686,Medical,60,9.86,2,834,4.366,1
LN100239,45,Unemployed,24,Tier-1,107021,2254007,Education,36,7.95,1,894,1.755,1
LN100240,54,Salaried,11,Metro,54474,4296464,Business,24,7.64,3,886,6.573,0
LN100241,39,Salaried,22,Tier-1,175929,502352,Vehicle,120,12.56,3,737,0.238,1
LN100242,56,Unemployed,7,Tier-2,28425,3317952,Medical,84,20.81,4,328,9.727,1
LN100243,43,Salaried,1,Tier-2,143594,2269707,Medical,84,9.43,2,795,1.317,0
LN100244,27,Business Owner,19,Metro,197287,1246159,Home,12,9.51,0,883,0.526,0
LN100245,61,Salaried,23,Tier-2,197632,940957,Home,24,17.06,1,494,0.397,0
LN100246,24,Salaried,3,Metro,142615,1235958,Medical,120,19.52,0,339,0.722,1
LN100247,60,Unemployed,2,Rural,198863,885054,Personal,84,18.86,0,389,0.371,1
LN100248,26,Business Owner,10,Metro,188089,1021630,Vehicle,120,19.65,0,342,0.453,0
LN100249,28,Salaried,21,Tier-2,184273,2095337,Medical,120,9.06,3,844,0.948,0
LN100250,43,Salaried,14,Metro,40635,2865241,Medical,84,9.16,4,813,5.876,0
LN100251,26,Salaried,25,Tier-2,142278,210025,Personal,60,7.8,3,878,0.123,1
LN100252,54,Salaried,16,Metro,60799,4019232,Vehicle,24,19.77,0,303,5.509,0
LN100253,43,Self-Employed,17,Metro,159578,2138865,Education,12,17.52,1,580,1.117,0
LN100254,36,Self-Employed,6,Tier-1,166223,3413594,Education,84,9.86,2,772,1.711,0
LN100255,27,Self-Employed,6,Tier-1,65211,3077402,Home,36,17.32,1,414,3.933,1
LN100256,45,Salaried,6,Metro,142170,2189393,Personal,48,14.09,0,410,1.283,1
LN100257,55,Self-Employed,4,Tier-1,111774,2583552,Education,12,14.83,2,542,1.926,1
LN100258,55,Self-Employed,4,Tier-1,69711,2970445,Personal,60,20.11,2,423,3.551,0
LN100259,64,Salaried,15,Tier-2,78914,139009,Education,36,16.17,0,450,0.147,0
LN100260,61,Self-Employed,21,Metro,43691,502950,Medical,48,16.08,0,410,0.959,1
LN100261,38,Self-Employed,22,Metro,66355,2208052,Medical,120,12.55,1,720,2.773,1
LN100262,50,Salaried,22,Metro,163481,3839550,Medical,36,19.46,1,337,1.957,1
LN100263,61,Salaried,18,Rural,106374,4102290,Personal,24,19.3,3,355,3.214,1
LN100264,38,Salaried,16,Tier-1,129252,4926280,Home,12,21.46,4,575,3.176,0
LN100265,22,Self-Employed,15,Tier-1,83344,2413779,Medical,84,10.94,2,717,2.413,0
LN100266,59,Self-Employed,28,Metro,99916,1722924,Education,36,12.96,2,683,1.437,0
LN100267,57,Self-Employed,7,Tier-1,139766,1167769,Business,36,10.66,0,724,0.696,0
LN100268,57,Salaried,12,Metro,64983,244337,Medical,48,8.92,0,764,0.313,0
LN100269,46,Self-Employed,6,Tier-2,180417,589913,Personal,24,15.6,0,590,0.272,0
LN100270,43,Salaried,7,Tier-2,73247,4110978,Personal,60,21.99,2,318,4.677,1
LN100271,36,Salaried,23,Metro,58368,4881400,Vehicle,48,15.64,3,607,6.969,0
LN100272,42,Business Owner,0,Tier-1,87055,1271407,Vehicle,24,13.43,4,708,1.217,0
LN100273,32,Salaried,29,Metro,138773,1783743,Business,60,17.37,0,348,1.071,0
LN100274,59,Salaried,12,Tier-2,128384,4899411,Business,36,10.45,4,698,3.18,0
LN100275,45,Salaried,18,Metro,124516,881241,Business,12,14.14,2,504,0.59,0
LN100276,39,Salaried,24,Tier-1,170201,4744352,Business,12,7.73,3,873,2.323,0
LN100277,59,Salaried,19,Tier-2,125966,2334183,Education,60,18.68,0,332,1.544,0
LN100278,23,Salaried,23,Tier-1,61375,997524,Education,24,9.74,2,818,1.354,0
LN100279,59,Salaried,13,Tier-1,46957,4489915,Home,120,21.47,1,489,7.968,1
LN100280,35,Business Owner,23,Metro,87526,2941885,Medical,12,16.01,3,588,2.801,1
LN100281,26,Salaried,20,Metro,164085,4282819,Vehicle,120,20.16,2,508,2.175,0
LN100282,40,Salaried,26,Metro,81327,1425036,Personal,36,16.49,2,339,1.46,0
LN100283,25,Salaried,1,Rural,198696,3506354,Education,24,13.95,1,725,1.471,0
LN100284,33,Salaried,10,Tier-2,18770,2189272,Education,12,7.71,2,884,9.72,1
LN100285,25,Self-Employed,26,Tier-1,185712,598413,Vehicle,36,20.8,2,530,0.269,1
LN100286,26,Salaried,7,Rural,16622,2745238,Education,24,16.73,0,408,13.763,0
LN100287,59,Business Owner,12,Tier-1,101816,4731942,Education,84,20.85,4,530,3.873,1
LN100288,24,Business Owner,8,Rural,27355,3741473,Personal,84,9.26,1,837,11.398,1
LN100289,23,Salaried,25,Metro,36704,1819266,Home,24,16.37,3,342,4.13,0
LN100290,32,Self-Employed,8,Metro,166950,4391755,Education,48,20.91,3,607,2.192,0
LN100291,47,Business Owner,6,Tier-2,103664,2200791,Home,48,16.29,1,489,1.769,1
LN100292,23,Salaried,26,Tier-1,123569,1791519,Business,84,7.76,4,788,1.208,0
LN100293,26,Business Owner,28,Tier-2,93089,3843567,Medical,60,10.99,1,720,3.441,0
LN100294,50,Business Owner,13,Tier-2,148662,1373855,Business,120,21.83,3,425,0.77,1
LN100295,28,Salaried,17,Tier-1,24449,512517,Business,36,15.64,3,515,1.747,0
LN100296,62,Salaried,21,Tier-2,149754,4647888,Medical,60,13.49,4,727,2.586,0
